[2021-04-26 17:03:37,279][MainThread:13540][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 17:03:37,360][MainThread:13540][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:03:37,407][MainThread:13540][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 17:05:13,088][MainThread:6740][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 17:05:13,163][MainThread:6740][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:05:13,197][MainThread:6740][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 17:05:36,917][MainThread:1064][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 17:05:36,985][MainThread:1064][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:05:37,022][MainThread:1064][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 17:07:55,252][MainThread:11216][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 17:07:55,332][MainThread:11216][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:07:55,334][MainThread:11216][task_id:Sources_Login_libs][Login_libs.py:33][WARNING][请求异常]
[2021-04-26 17:07:55,379][MainThread:11216][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 17:09:15,696][MainThread:8092][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 17:09:15,772][MainThread:8092][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:09:15,773][MainThread:8092][task_id:Sources_Login_libs][Login_libs.py:33][WARNING][请求异常]
[2021-04-26 17:09:15,812][MainThread:8092][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
